full_name,party
Grace Meng,Democratic
Nydia Velazquez,Democratic
Hakeem S. Jeffries,Democratic
Yvette D. Clarke,Democratic
Jerrold Nadler,Democratic
Nicole Malliotakis,Republican
Carolyn B. Maloney,Democratic
Adriano Espaillat,Democratic
Alexandria Ocasio-Cortez,Democratic
Ritchie Torres,Democratic
Jamaal Bowman,Democratic
Mondaire Jones,Democratic
Sean Patrick Maloney,Democratic
Antonio Delgado,Democratic
Paul Tonko,Democratic
Elise Stefanik,Republican
Claudia Tenney,Republican
John Katko,Republican
Joseph D. Morelle,Democratic
Brian Higgins,Democratic
Christopher L. Jacobs,Republican
Eleanor Holmes Norton,Democratic
G.K. Butterfield,Democratic
Deborah K. Ross,Democratic
Gregory Murphy,Republican
David E. Price,Democratic
Virginia Foxx,Republican
None Kathy Manning,Democratic
Kathy Manning,Democratic
George Holding,Republican
David Cheston Rouzer,Republican
Richard Hudson,Republican
Dan Bishop,Republican
Patrick T. McHenry,Republican
David Madison Cawthorn,Republican
Alma Adams,Democratic
Ted Budd,Republican
Kelly Armstrong,Republican
Gregorio Kilili Camacho Sablan,Independent
Steve Chabot,Republican
Brad Wenstrup,Republican
Harley E. Rouda,Democratic
Joyce Beatty,Democratic
Justin Amash,Republican
Jim Jordan,Republican
Bob Latta,Republican
Bill Johnson,Republican
Bob Gibbs,Republican
Warren Davidson,Republican
Marcy Kaptur,Democratic
Michael Turner,Republican
Robert E. Latta,Republican
Shontel Brown,Democratic
Troy Balderson,Republican
Tim Ryan,Democratic
David P. Joyce,Republican
Kenny Marchant,Republican
Mike Carey,Republican
Anthony E. Gonzalez,Republican
Kevin Hern,Republican
Markwayne Mullin,Republican
David P. Roe,Republican
Frank Lucas,Republican
Tom Cole,Republican
Stephanie Bice,Republican
Suzanne Bonamici,Democratic
Cliff Bentz,Republican
Earl Blumenauer,Democratic
Peter DeFazio,Democratic
Kurt Schrader,Democratic
Brian Fitzpatrick,Republican
Brendan Boyle,Democratic
Dwight Evans,Democratic
Madeleine Dean,Democratic
Mary Gay Scanlon,Democratic
Chrissy Houlahan,Democratic
Susan Wild,Democratic
Matt Cartwright,Democratic
Daniel Meuser,Republican
Scott Perry,Republican
Lloyd K. Smucker,Republican
Fred Keller,Republican
John Joyce,Republican
Guy Reschenthaler,Republican
Glenn Thompson,Republican
Mike Kelly,Republican
Conor Lamb,Democratic
Michael Doyle,Democratic
Jenniffer González-Colón,New Progressive
David N. Cicilline,Democratic
James R. Langevin,Democratic
Nancy Mace,Republican
Joe Wilson,Republican
Jeff Duncan,Republican
William R. Timmons,Republican
Ralph Norman,Republican
James Clyburn,Democratic
Tom Rice,Republican
Dusty Johnson,Republican
K. Michael Conaway,Republican
Diana Harshbarger,Republican
Tim Burchett,Republican
Charles J. "Chuck" Fleischmann,Republican
Scott DesJarlais,Republican
Jim Cooper,Democratic
John Rose,Republican
Mark Green,Republican
David Kustoff,Republican
Steve Cohen,Democratic
Louis B. Gohmert Jr.,Republican
Daniel Crenshaw,Republican
Nicholas Van Taylor,Republican
Nicholas V. Taylor,Republican
Patrick Fallon,Republican
Lance Gooden,Republican
Jake Ellzey,Republican
Lizzie Pannill Fletcher,Democratic
Kevin Brady,Republican
Al Green,Democratic
Michael T. McCaul,Republican
August Lee Pfluger,Republican
Kay Granger,Republican
Ronny L. Jackson,Republican
Randy Weber,Republican
Vicente Gonzalez Jr.,Democratic
Veronica Escobar,Democratic
Pete Sessions,Republican
Sheila Jackson Lee,Democratic
Jodey Arrington,Republican
Joaquin Castro,Democratic
Chip Roy,Republican
Troy Nehls,Republican
Tony Gonzales,Republican
Beth Van Duyne,Republican
Roger Williams,Republican
Michael C. Burgess,Republican
Michael Cloud,Republican
Henry Cuellar,Democratic
Sylvia Garcia,Democratic
Eddie Bernice Johnson,Democratic
John Carter,Republican
Colin Allred,Democratic
Marc Veasey,Democratic
Lloyd Doggett,Democratic
Brian Babin,Republican
Blake Moore,Republican
Chris Stewart,Republican
John Curtis,Republican
Burgess Owens,Republican
Peter Welch,Democratic
Stacey Plaskett,Democratic
Robert J. Wittman,Republican
Elaine Luria,Democratic
Robert C. "Bobby" Scott,Democratic
Aston Donald McEachin,Democratic
Bob Good,Republican
Benjamin Lee Cline,Republican
Abigail Spanberger,Democratic
Donald Sternoff Beyer,Democratic
Donald Sternoff Honorable Beyer,Democratic
H. Morgan Griffith,Republican
Jennifer Wexton,Democratic
Gerald E. Connolly,Democratic
Suzan K. DelBene,Democratic
Rick Larsen,Democratic
Jaime Herrera Beutler,Republican
Dan Newhouse,Republican
Donna Shalala,Democratic
Cathy McMorris Rodgers,Republican
Derek Kilmer,Democratic
Pramila Jayapal,Democratic
Kim Dr Schrier,Democratic
Kim Schrier,Democratic
D. Adam Smith,Democratic
Marilyn Strickland,Democratic
David B. McKinley,Republican
Alexander Mooney,Republican
Carol  Devine Miller,Republican
Bryan Steil,Republican
Mark Pocan,Democratic
Ronald James Kind,Democratic
Gwen Moore,Democratic
Scott Fitzgerald,Republican
Glenn Grothman,Republican
Tom Tiffany,Republican
Michael John Gallagher,Republican
Liz Cheney,Republican
